ID,STIX ID,name,description,url,created,last modified,tactics,platforms
AML.T0040,attack-pattern--da8fff4a-bfff-4fe2-9d45-1c01fd9d3b73,AI Model Inference API Access,"Adversaries may gain access to a model via legitimate access to the inference API.
Inference API access can be a source of information to the adversary ([Discover ML Model Ontology](/techniques/AML.T0013), [Discover ML Model Family](/techniques/AML.T0014)), a means of staging the attack ([Verify Attack](/techniques/AML.T0042), [Craft Adversarial Data](/techniques/AML.T0043)), or for introducing data to the target system for Impact ([Evade ML Model](/techniques/AML.T0015), [Erode ML Model Integrity](/techniques/AML.T0031)).

Many systems rely on the same models provided via an inference API, which means they share the same vulnerabilities. This is especially true of foundation models which are prohibitively resource intensive to train. Adversaries may use their access to model APIs to identify vulnerabilities such as jailbreaks or hallucinations and then target applications that use the same models.",https://atlas.mitre.org/techniques/AML.T0040,14 March 2025,14 March 2025,ML Model Access,ATLAS
AML.T0008,attack-pattern--3821f3bc-85b6-4090-9061-96f19a1a5582,Acquire Infrastructure,"Adversaries may buy, lease, or rent infrastructure for use throughout their operation.
A wide variety of infrastructure exists for hosting and orchestrating adversary operations.
Infrastructure solutions include physical or cloud servers, domains, mobile devices, and third-party web services.
Free resources may also be used, but they are typically limited.
Infrastructure can also include physical components such as countermeasures that degrade or disrupt AI components or sensors, including printed materials, wearables, or disguises.

Use of these infrastructure solutions allows an adversary to stage, launch, and execute an operation.
Solutions may help adversary operations blend in with traffic that is seen as normal, such as contact to third-party web services.
Depending on the implementation, adversaries may use infrastructure that makes it difficult to physically tie back to them as well as utilize infrastructure that can be rapidly provisioned, modified, and shut down.",https://atlas.mitre.org/techniques/AML.T0008,14 March 2025,14 March 2025,Resource Development,ATLAS
AML.T0002,attack-pattern--c652f980-4fff-47ae-8119-d6a927255ebc,Acquire Public ML Artifacts,"Adversaries may search public sources, including cloud storage, public-facing services, and software or data repositories, to identify machine learning artifacts.
These machine learning artifacts may include the software stack used to train and deploy models, training and testing data, model configurations and parameters.
An adversary will be particularly interested in artifacts hosted by or associated with the victim organization as they may represent what that organization uses in a production environment.
Adversaries may identify artifact repositories via other resources associated with the victim organization (e.g. [Search Victim-Owned Websites](/techniques/AML.T0003) or [Search for Victim's Publicly Available Research Materials](/techniques/AML.T0000)).
These ML artifacts often provide adversaries with details of the ML task and approach.

ML artifacts can aid in an adversary's ability to [Create Proxy ML Model](/techniques/AML.T0005).
If these artifacts include pieces of the actual model in production, they can be used to directly [Craft Adversarial Data](/techniques/AML.T0043).
Acquiring some artifacts requires registration (providing user details such email/name), AWS keys, or written requests, and may require the adversary to [Establish Accounts](/techniques/AML.T0021).

Artifacts might be hosted on victim-controlled infrastructure, providing the victim with some information on who has accessed that data.
",https://atlas.mitre.org/techniques/AML.T0002,14 March 2025,14 March 2025,Resource Development,ATLAS
AML.T0006,attack-pattern--40688955-5558-47a9-ad37-393d75b4107f,Active Scanning,"An adversary may probe or scan the victim system to gather information for targeting.
This is distinct from other reconnaissance techniques that do not involve direct interaction with the victim system.
",https://atlas.mitre.org/techniques/AML.T0006,14 March 2025,14 March 2025,Reconnaissance,ATLAS
AML.T0016.000,attack-pattern--341c0beb-7a50-4669-8abc-fb6e22e96807,Adversarial ML Attack Implementations,"Adversaries may search for existing open source implementations of machine learning attacks. The research community often publishes their code for reproducibility and to further future research. Libraries intended for research purposes, such as CleverHans, the Adversarial Robustness Toolbox, and FoolBox, can be weaponized by an adversary. Adversaries may also obtain and use tools that were not originally designed for adversarial ML attacks as part of their attack.",https://atlas.mitre.org/techniques/AML.T0016.000,14 March 2025,14 March 2025,Resource Development,ATLAS
AML.T0017.000,attack-pattern--01ac9ace-7f47-4082-ad0a-62e1696478e8,Adversarial ML Attacks,"Adversaries may develop their own adversarial attacks.
They may leverage existing libraries as a starting point ([Adversarial ML Attack Implementations](/techniques/AML.T0016.000)).
They may implement ideas described in public research papers or develop custom made attacks for the victim model.
",https://atlas.mitre.org/techniques/AML.T0017.000,14 March 2025,14 March 2025,Resource Development,ATLAS
AML.T0018,attack-pattern--2ea7686d-a65f-4e06-b962-02495a8f1cdb,Backdoor ML Model,"Adversaries may introduce a backdoor into a ML model.
A backdoored model operates performs as expected under typical conditions, but will produce the adversary's desired output when a trigger is introduced to the input data.
A backdoored model provides the adversary with a persistent artifact on the victim system.
The embedded vulnerability is typically activated at a later time by data samples with an [Insert Backdoor Trigger](/techniques/AML.T0043.004)
",https://atlas.mitre.org/techniques/AML.T0018,14 March 2025,14 March 2025,"ML Attack Staging, Persistence",ATLAS
AML.T0043.001,attack-pattern--fb1d969f-a88b-4404-a1a5-36fc7eab7c41,Black-Box Optimization,"In Black-Box attacks, the adversary has black-box (i.e. [AI Model Inference API Access](/techniques/AML.T0040) via API access) access to the target model.
With black-box attacks, the adversary may be using an API that the victim is monitoring.
These attacks are generally less effective and require more inferences than [White-Box Optimization](/techniques/AML.T0043.000) attacks, but they require much less access.
",https://atlas.mitre.org/techniques/AML.T0043.001,14 March 2025,14 March 2025,ML Attack Staging,ATLAS
AML.T0043.002,attack-pattern--8f1fef8f-0971-4171-a7a3-2a2e9b7c087c,Black-Box Transfer,"In Black-Box Transfer attacks, the adversary uses one or more proxy models (trained via [Create Proxy ML Model](/techniques/AML.T0005) or [Train Proxy via Replication](/techniques/AML.T0005.001)) they have full access to and are representative of the target model.
The adversary uses [White-Box Optimization](/techniques/AML.T0043.000) on the proxy models to generate adversarial examples.
If the set of proxy models are close enough to the target model, the adversarial example should generalize from one to another.
This means that an attack that works for the proxy models will likely then work for the target model.
If the adversary has [AI Model Inference API Access](/techniques/AML.T0040), they may use [Verify Attack](/techniques/AML.T0042) to confirm the attack is working and incorporate that information into their training process.
",https://atlas.mitre.org/techniques/AML.T0043.002,14 March 2025,14 March 2025,ML Attack Staging,ATLAS
AML.T0067.000,attack-pattern--ce2d3599-8f7a-495e-aa86-05311ba51356,Citations,"Adversaries may manipulate the citations provided in an AI system's response, in order to make it appear trustworthy. Variants include citing a providing the wrong citation, making up a new citation, or providing the right citation but for adversary-provided data.",https://atlas.mitre.org/techniques/AML.T0067.000,14 March 2025,14 March 2025,Defense Evasion,ATLAS
AML.T0050,attack-pattern--15cf5a0f-8aab-45b1-aea7-f163d6be9d92,Command and Scripting Interpreter,"Adversaries may abuse command and script interpreters to execute commands, scripts, or binaries. These interfaces and languages provide ways of interacting with computer systems and are a common feature across many different platforms. Most systems come with some built-in command-line interface and scripting capabilities, for example, macOS and Linux distributions include some flavor of Unix Shell while Windows installations include the Windows Command Shell and PowerShell.

There are also cross-platform interpreters such as Python, as well as those commonly associated with client applications such as JavaScript and Visual Basic.

Adversaries may abuse these technologies in various ways as a means of executing arbitrary commands. Commands and scripts can be embedded in Initial Access payloads delivered to victims as lure documents or as secondary payloads downloaded from an existing C2. Adversaries may also execute commands through interactive terminals/shells, as well as utilize various Remote Services in order to achieve remote Execution.
",https://atlas.mitre.org/techniques/AML.T0050,14 March 2025,14 March 2025,Execution,ATLAS
AML.T0008.001,attack-pattern--9a779962-38cd-4b1e-94f7-ff704d090dd6,Consumer Hardware,"Adversaries may acquire consumer hardware to conduct their attacks.
Owning the hardware provides the adversary with complete control of the environment. These devices can be hard to trace.
",https://atlas.mitre.org/techniques/AML.T0008.001,14 March 2025,14 March 2025,Resource Development,ATLAS
AML.T0034,attack-pattern--71236163-a6a2-48d2-aee5-df2c480df0d7,Cost Harvesting,"Adversaries may target different machine learning services to send useless queries or computationally expensive inputs to increase the cost of running services at the victim organization.
Sponge examples are a particular type of adversarial data designed to maximize energy consumption and thus operating cost.
",https://atlas.mitre.org/techniques/AML.T0034,14 March 2025,14 March 2025,Impact,ATLAS
AML.T0043,attack-pattern--d3cfc2f0-87dc-4fb1-8a0d-9b5cf7d10484,Craft Adversarial Data,"Adversarial data are inputs to a machine learning model that have been modified such that they cause the adversary's desired effect in the target model.
Effects can range from misclassification, to missed detections, to maximizing energy consumption.
Typically, the modification is constrained in magnitude or location so that a human still perceives the data as if it were unmodified, but human perceptibility may not always be a concern depending on the adversary's intended effect.
For example, an adversarial input for an image classification task is an image the machine learning model would misclassify, but a human would still recognize as containing the correct class.

Depending on the adversary's knowledge of and access to the target model, the adversary may use different classes of algorithms to develop the adversarial example such as [White-Box Optimization](/techniques/AML.T0043.000), [Black-Box Optimization](/techniques/AML.T0043.001), [Black-Box Transfer](/techniques/AML.T0043.002), or [Manual Modification](/techniques/AML.T0043.003).

The adversary may [Verify Attack](/techniques/AML.T0042) their approach works if they have white-box or inference API access to the model.
This allows the adversary to gain confidence their attack is effective ""live"" environment where their attack may be noticed.
They can then use the attack at a later time to accomplish their goals.
An adversary may optimize adversarial examples for [Evade ML Model](/techniques/AML.T0015), or to [Erode ML Model Integrity](/techniques/AML.T0031).
",https://atlas.mitre.org/techniques/AML.T0043,14 March 2025,14 March 2025,ML Attack Staging,ATLAS
AML.T0005,attack-pattern--ee609ad3-6280-4514-85af-b00798a78e84,Create Proxy ML Model,"Adversaries may obtain models to serve as proxies for the target model in use at the victim organization.
Proxy models are used to simulate complete access to the target model in a fully offline manner.

Adversaries may train models from representative datasets, attempt to replicate models from victim inference APIs, or use available pre-trained models.
",https://atlas.mitre.org/techniques/AML.T0005,14 March 2025,14 March 2025,ML Attack Staging,ATLAS
AML.T0010.002,attack-pattern--4c34c31f-5157-48ad-acb8-4344cadd93cf,Data,"Data is a key vector of supply chain compromise for adversaries.
Every machine learning project will require some form of data.
Many rely on large open source datasets that are publicly available.
An adversary could rely on compromising these sources of data.
The malicious data could be a result of [Poison Training Data](/techniques/AML.T0020) or include traditional malware.

An adversary can also target private datasets in the labeling phase.
The creation of private datasets will often require the hiring of outside labeling services.
An adversary can poison a dataset by modifying the labels being generated by the labeling service.
",https://atlas.mitre.org/techniques/AML.T0010.002,14 March 2025,14 March 2025,Initial Access,ATLAS
AML.T0036,attack-pattern--42caf4ac-db7b-4dd4-9299-06d39dd3d8d2,Data from Information Repositories,"Adversaries may leverage information repositories to mine valuable information.
Information repositories are tools that allow for storage of information, typically to facilitate collaboration or information sharing between users, and can store a wide variety of data that may aid adversaries in further objectives, or direct access to the target information.

Information stored in a repository may vary based on the specific instance or environment.
Specific common information repositories include SharePoint, Confluence, and enterprise databases such as SQL Server.
",https://atlas.mitre.org/techniques/AML.T0036,14 March 2025,14 March 2025,Collection,ATLAS
AML.T0037,attack-pattern--25865eb8-7709-4e3b-9d43-878646f8f5a5,Data from Local System,"Adversaries may search local system sources, such as file systems and configuration files or local databases, to find files of interest and sensitive data prior to Exfiltration.

This can include basic fingerprinting information and sensitive data such as ssh keys.
",https://atlas.mitre.org/techniques/AML.T0037,14 March 2025,14 March 2025,Collection,ATLAS
AML.T0002.000,attack-pattern--f85d3313-5de8-4d27-9d23-bf3fa79946e5,Datasets,"Adversaries may collect public datasets to use in their operations.
Datasets used by the victim organization or datasets that are representative of the data used by the victim organization may be valuable to adversaries.
Datasets can be stored in cloud storage, or on victim-owned websites.
Some datasets require the adversary to [Establish Accounts](/techniques/AML.T0021) for access.

Acquired datasets help the adversary advance their operations, stage attacks,  and tailor attacks to the victim organization.
",https://atlas.mitre.org/techniques/AML.T0002.000,14 March 2025,14 March 2025,Resource Development,ATLAS
AML.T0029,attack-pattern--861e7c2c-3f39-4131-b657-d9d9149189d0,Denial of ML Service,"Adversaries may target machine learning systems with a flood of requests for the purpose of degrading or shutting down the service.
Since many machine learning systems require significant amounts of specialized compute, they are often expensive bottlenecks that can become overloaded.
Adversaries can intentionally craft inputs that require heavy amounts of useless compute from the machine learning system.
",https://atlas.mitre.org/techniques/AML.T0029,14 March 2025,14 March 2025,Impact,ATLAS
AML.T0017,attack-pattern--ca864493-d868-4671-ba43-b721b10a5bba,Develop Capabilities,"Adversaries may develop their own capabilities to support operations. This process encompasses identifying requirements, building solutions, and deploying capabilities. Capabilities used to support attacks on ML systems are not necessarily ML-based themselves. Examples include setting up websites with adversarial information or creating Jupyter notebooks with obfuscated exfiltration code.",https://atlas.mitre.org/techniques/AML.T0017,14 March 2025,14 March 2025,Resource Development,ATLAS
AML.T0051.000,attack-pattern--dcce6e07-56ea-416a-a15b-7693f0f0d631,Direct,"An adversary may inject prompts directly as a user of the LLM. This type of injection may be used by the adversary to gain a foothold in the system or to misuse the LLM itself, as for example to generate harmful content.
",https://atlas.mitre.org/techniques/AML.T0051.000,14 March 2025,14 March 2025,Execution,ATLAS
AML.T0063,attack-pattern--737e473c-ed93-4f70-95a0-9c1ae74390bb,Discover AI Model Outputs,"Adversaries may discover model outputs, such as class scores, whose presence is not required for the system to function and are not intended for use by the end user. Model outputs may be found in logs or may be included in API responses.
Model outputs may enable the adversary to identify weaknesses in the model and develop attacks.",https://atlas.mitre.org/techniques/AML.T0063,14 March 2025,14 March 2025,Discovery,ATLAS
AML.T0062,attack-pattern--8d2b6be6-f86e-4b55-97de-491979e9cf2a,Discover LLM Hallucinations,"Adversaries may prompt large language models and identify hallucinated entities.
They may request software packages, commands, URLs, organization names, or e-mail addresses, and identify hallucinations with no connected real-world source. Discovered hallucinations provide the adversary with potential targets to [Publish Hallucinated Entities](/techniques/AML.T0060). Different LLMs have been shown to produce the same hallucinations, so the hallucinations exploited by an adversary may affect users of other LLMs.",https://atlas.mitre.org/techniques/AML.T0062,14 March 2025,14 March 2025,Discovery,ATLAS
AML.T0069,attack-pattern--63388116-e4dd-45c5-8021-74bfd69e66a0,Discover LLM System Information,"The adversary is trying to discover something about the large language model's (LLM) system information. This may be found in a configuration file containing the system instructions or extracted via interactions with the LLM. The desired information may include the full system prompt, special characters that have significance to the LLM or keywords indicating functionality available to the LLM. Information about how the LLM is instructed can be used by the adversary to understand the system's capabilities and to aid them in crafting malicious prompts.",https://atlas.mitre.org/techniques/AML.T0069,14 March 2025,14 March 2025,Discovery,ATLAS
AML.T0007,attack-pattern--8a47d00f-77c8-4144-8452-facca3096fa3,Discover ML Artifacts,"Adversaries may search private sources to identify machine learning artifacts that exist on the system and gather information about them.
These artifacts can include the software stack used to train and deploy models, training and testing data management systems, container registries, software repositories, and model zoos.

This information can be used to identify targets for further collection, exfiltration, or disruption, and to tailor and improve attacks.
",https://atlas.mitre.org/techniques/AML.T0007,14 March 2025,14 March 2025,Discovery,ATLAS
AML.T0014,attack-pattern--9115a9b6-855a-4acf-802c-aad9eeedc310,Discover ML Model Family,"Adversaries may discover the general family of model.
General information about the model may be revealed in documentation, or the adversary may use carefully constructed examples and analyze the model's responses to categorize it.

Knowledge of the model family can help the adversary identify means of attacking the model and help tailor the attack.
",https://atlas.mitre.org/techniques/AML.T0014,14 March 2025,14 March 2025,Discovery,ATLAS
AML.T0013,attack-pattern--b99c824b-c87f-4e39-ba72-7b8b299f0039,Discover ML Model Ontology,"Adversaries may discover the ontology of a machine learning model's output space, for example, the types of objects a model can detect.
The adversary may discovery the ontology by repeated queries to the model, forcing it to enumerate its output space.
Or the ontology may be discovered in a configuration file or in documentation about the model.

The model ontology helps the adversary understand how the model is being used by the victim.
It is useful to the adversary in creating targeted attacks.
",https://atlas.mitre.org/techniques/AML.T0013,14 March 2025,14 March 2025,Discovery,ATLAS
AML.T0008.002,attack-pattern--ce19e9c5-1006-43af-a6de-cd16021be9f5,Domains,"Adversaries may acquire domains that can be used during targeting. Domain names are the human readable names used to represent one or more IP addresses. They can be purchased or, in some cases, acquired for free.

Adversaries may use acquired domains for a variety of purposes (see [ATT&CK](https://attack.mitre.org/techniques/T1583/001/)). Large AI datasets are often distributed as a list of URLs to individual datapoints. Adversaries may acquire expired domains that are included in these datasets and replace individual datapoints with poisoned examples ([Publish Poisoned Datasets](/techniques/AML.T0019)).",https://atlas.mitre.org/techniques/AML.T0008.002,14 March 2025,14 March 2025,Discovery,ATLAS
AML.T0059,attack-pattern--07179795-e764-4d6a-a105-7fc73bd970ff,Erode Dataset Integrity,"Adversaries may poison or manipulate portions of a dataset to reduce its usefulness, reduce trust, and cause users to waste resources correcting errors.",https://atlas.mitre.org/techniques/AML.T0059,14 March 2025,14 March 2025,Impact,ATLAS
AML.T0031,attack-pattern--4b0d8468-e00f-4ba2-9e18-1a2f527f08b2,Erode ML Model Integrity,"Adversaries may degrade the target model's performance with adversarial data inputs to erode confidence in the system over time.
This can lead to the victim organization wasting time and money both attempting to fix the system and performing the tasks it was meant to automate by hand.
",https://atlas.mitre.org/techniques/AML.T0031,14 March 2025,14 March 2025,Impact,ATLAS
AML.T0021,attack-pattern--becf223c-e8c2-41f7-85b6-d29859ca95d7,Establish Accounts,"Adversaries may create accounts with various services for use in targeting, to gain access to resources needed in [ML Attack Staging](/tactics/AML.TA0001), or for victim impersonation.
",https://atlas.mitre.org/techniques/AML.T0021,14 March 2025,14 March 2025,Resource Development,ATLAS
AML.T0015,attack-pattern--ccf27b22-48bf-4219-a668-fa60eb0d94a4,Evade ML Model,"Adversaries can [Craft Adversarial Data](/techniques/AML.T0043) that prevent a machine learning model from correctly identifying the contents of the data.
This technique can be used to evade a downstream task where machine learning is utilized.
The adversary may evade machine learning based virus/malware detection, or network scanning towards the goal of a traditional cyber attack.
",https://atlas.mitre.org/techniques/AML.T0015,14 March 2025,14 March 2025,"Defense Evasion, Impact, Initial Access",ATLAS
AML.T0025,attack-pattern--55a17dc0-be82-40b8-80e7-f97e1e867b58,Exfiltration via Cyber Means,"Adversaries may exfiltrate ML artifacts or other information relevant to their goals via traditional cyber means.

See the ATT&CK [Exfiltration](https://attack.mitre.org/tactics/TA0010/) tactic for more information.
",https://atlas.mitre.org/techniques/AML.T0025,14 March 2025,14 March 2025,Exfiltration,ATLAS
AML.T0024,attack-pattern--3f333baa-31b3-4196-966c-5298a8b106c5,Exfiltration via ML Inference API,"Adversaries may exfiltrate private information via [AI Model Inference API Access](/techniques/AML.T0040).
ML Models have been shown leak private information about their training data (e.g.  [Infer Training Data Membership](/techniques/AML.T0024.000), [Invert ML Model](/techniques/AML.T0024.001)).
The model itself may also be extracted ([Extract ML Model](/techniques/AML.T0024.002)) for the purposes of [ML Intellectual Property Theft](/techniques/AML.T0048.004).

Exfiltration of information relating to private training data raises privacy concerns.
Private training data may include personally identifiable information, or other protected data.
",https://atlas.mitre.org/techniques/AML.T0024,14 March 2025,14 March 2025,Exfiltration,ATLAS
AML.T0049,attack-pattern--33fd1b84-34af-473e-a0cf-99bb1dec61c6,Exploit Public-Facing Application,"Adversaries may attempt to take advantage of a weakness in an Internet-facing computer or program using software, data, or commands in order to cause unintended or unanticipated behavior. The weakness in the system can be a bug, a glitch, or a design vulnerability. These applications are often websites, but can include databases (like SQL), standard services (like SMB or SSH), network device administration and management protocols (like SNMP and Smart Install), and any other applications with Internet accessible open sockets, such as web servers and related services.
",https://atlas.mitre.org/techniques/AML.T0049,14 March 2025,14 March 2025,Initial Access,ATLAS
AML.T0048,attack-pattern--60eeb103-32b3-429f-895e-99c229e1181e,External Harms,"Adversaries may abuse their access to a victim system and use its resources or capabilities to further their goals by causing harms external to that system.
These harms could affect the organization (e.g. Financial Harm, Reputational Harm), its users (e.g. User Harm), or the general public (e.g. Societal Harm).
",https://atlas.mitre.org/techniques/AML.T0048,14 March 2025,14 March 2025,Impact,ATLAS
AML.T0056,attack-pattern--b68a2222-7aba-4a03-9f64-20e89faf4ec6,Extract LLM System Prompt,"Adversaries may attempt to extract a large language model's (LLM) system prompt. This can be done via prompt injection to induce the model to reveal its own system prompt or may be extracted from a configuration file.

System prompts can be a portion of an AI provider's competitive advantage and are thus valuable intellectual property that may be targeted by adversaries.",https://atlas.mitre.org/techniques/AML.T0056,14 March 2025,14 March 2025,Exfiltration,ATLAS
AML.T0024.002,attack-pattern--9ab0c79a-4dcf-4270-a272-af080402402d,Extract ML Model,"Adversaries may extract a functional copy of a private model.
By repeatedly querying the victim's [AI Model Inference API Access](/techniques/AML.T0040), the adversary can collect the target model's inferences into a dataset.
The inferences are used as labels for training a separate model offline that will mimic the behavior and performance of the target model.

Adversaries may extract the model to avoid paying per query in a machine learning as a service setting.
Model extraction is used for [ML Intellectual Property Theft](/techniques/AML.T0048.004).
",https://atlas.mitre.org/techniques/AML.T0024.002,14 March 2025,14 March 2025,Exfiltration,ATLAS
AML.T0071,attack-pattern--96d40a8c-f6ff-4f15-97b0-aa2b678fd743,False RAG Entry Injection,"Adversaries may introduce false entries into a victim's retrieval augmented generation (RAG) database. Content designed to be interpreted as a document by the large language model (LLM) used in the RAG system is included in a data source being ingested into the RAG database. When RAG entry including the false document is retrieved the, the LLM is tricked into treating part of the retrieved content as a false RAG result. 

By including a false RAG document inside of a regular RAG entry, it bypasses data monitoring tools. It also prevents the document from being deleted directly. 

The adversary may use discovered system keywords to learn how to instruct a particular LLM to treat content as a RAG entry. They may be able to manipulate the injected entry's metadata including document title, author, and creation date.",https://atlas.mitre.org/techniques/AML.T0071,14 March 2025,14 March 2025,Defense Evasion,ATLAS
AML.T0048.000,attack-pattern--968c7b7f-6bb4-4d0e-bbab-3098ce12b4ce,Financial Harm,"Financial harm involves the loss of wealth, property, or other monetary assets due to theft, fraud or forgery, or pressure to provide financial resources to the adversary.
",https://atlas.mitre.org/techniques/AML.T0048.000,14 March 2025,14 March 2025,Impact,ATLAS
AML.T0044,attack-pattern--07ebffc5-e98e-4330-bf94-7f0c56b16345,Full ML Model Access,"Adversaries may gain full ""white-box"" access to a machine learning model.
This means the adversary has complete knowledge of the model architecture, its parameters, and class ontology.
They may exfiltrate the model to [Craft Adversarial Data](/techniques/AML.T0043) and [Verify Attack](/techniques/AML.T0042) in an offline where it is hard to detect their behavior.
",https://atlas.mitre.org/techniques/AML.T0044,14 March 2025,14 March 2025,ML Model Access,ATLAS
AML.T0064,attack-pattern--5eb94c9f-0db2-4f09-9458-60467f9daeb2,Gather RAG-Indexed Targets,"Adversaries may identify data sources used in retrieval augmented generation (RAG) systems for targeting purposes. By pinpointing these sources, attackers can focus on poisoning or otherwise manipulating the external data repositories the AI relies on.

RAG-indexed data may be identified in public documentation about the system, or by interacting with the system directly and observing any indications of or references to external data sources.",https://atlas.mitre.org/techniques/AML.T0064,14 March 2025,14 March 2025,Reconnaissance,ATLAS
AML.T0016.002,attack-pattern--55906ca3-dcfa-46d0-ade8-da3c6554984d,Generative AI,"Adversaries may search for and obtain generative AI models or tools, such as large language models (LLMs), to assist them in various steps of their operation. Generative AI can be used in a variety of malicious ways, including generating malware or offensive cyber scripts, [Retrieval Content Crafting](/techniques/AML.T0066), or generating [Phishing](/techniques/AML.T0052) content.

Adversaries may obtain an open source model or they may leverage a generative AI service. They may need to jailbreak the generative AI model to bypass any restrictions put in place to limit the types of responses it can generate. They may also need to break the terms of service of the generative AI.",https://atlas.mitre.org/techniques/AML.T0016.002,14 March 2025,14 March 2025,Discovery,ATLAS
AML.T0010.000,attack-pattern--39d1fb41-32e9-4909-bc4d-acb4751b118b,Hardware,"Adversaries may target AI systems by disrupting or manipulating the hardware supply chain. AI models often run on specialized hardware such as GPUs, TPUs, or embedded devices, but may also be optimized to operate on CPUs.",https://atlas.mitre.org/techniques/AML.T0010.000,14 March 2025,14 March 2025,Initial Access,ATLAS
AML.T0051.001,attack-pattern--3897f551-0533-4714-b8de-47e3879e42ae,Indirect,"An adversary may inject prompts indirectly via separate data channel ingested by the LLM such as include text or multimedia pulled from databases or websites.
These malicious prompts may be hidden or obfuscated from the user. This type of injection may be used by the adversary to gain a foothold in the system or to target an unwitting user of the system.
",https://atlas.mitre.org/techniques/AML.T0051.001,14 March 2025,14 March 2025,Execution,ATLAS
AML.T0024.000,attack-pattern--02c2f3c6-678a-40f7-997b-a3faa54a5760,Infer Training Data Membership,"Adversaries may infer the membership of a data sample in its training set, which raises privacy concerns.
Some strategies make use of a shadow model that could be obtained via [Train Proxy via Replication](/techniques/AML.T0005.001), others use statistics of model prediction scores.

This can cause the victim model to leak private information, such as PII of those in the training set or other forms of protected IP.
",https://atlas.mitre.org/techniques/AML.T0024.000,14 March 2025,14 March 2025,Exfiltration,ATLAS
AML.T0018.001,attack-pattern--294fe4dc-ac27-4b40-ae40-8148b9876f25,Inject Payload,"Adversaries may introduce a backdoor into a model by injecting a payload into the model file.
The payload detects the presence of the trigger and bypasses the model, instead producing the adversary's desired output.
",https://atlas.mitre.org/techniques/AML.T0018.001,14 March 2025,14 March 2025,"ML Attack Staging, Persistence",ATLAS
AML.T0043.004,attack-pattern--09d078c4-833c-4d5c-a69c-5066d8c6917b,Insert Backdoor Trigger,"The adversary may add a perceptual trigger into inference data.
The trigger may be imperceptible or non-obvious to humans.
This technique is used in conjunction with [Poison ML Model](/techniques/AML.T0018.000) and allows the adversary to produce their desired effect in the target model.
",https://atlas.mitre.org/techniques/AML.T0043.004,14 March 2025,14 March 2025,ML Attack Staging,ATLAS
AML.T0024.001,attack-pattern--93c93189-92f6-4485-8ddf-6c5e501f416f,Invert ML Model,"Machine learning models' training data could be reconstructed by exploiting the confidence scores that are available via an inference API.
By querying the inference API strategically, adversaries can back out potentially private information embedded within the training data.
This could lead to privacy violations if the attacker can reconstruct the data of sensitive features used in the algorithm.
",https://atlas.mitre.org/techniques/AML.T0024.001,14 March 2025,14 March 2025,Exfiltration,ATLAS
